Gene.name	Mouse.gene.name	Chicken.gene.name
SRPX2	Srpx2	SRPX2
SEC61G	Sec61g	SEC61G
AQP11	Aqp11	AQP11
NEUROD2	Neurod2	NEUROD2
SLC38A2	Slc38a2	SLC38A2
IQCH	Iqch	IQCH
TMEM98	Tmem98	TMEM98
PHF24	Phf24	PHF24
ATP1B4	Atp1b4	ATP1B4
NMU	Nmu	NMU
IFT22	Ift22	IFT22
TYR	Tyr	TYR
LAMP2	Lamp2	LAMP2
GCH1	Gch1	GCH1
SNORA84	Gm25394	SNORA84
NME8	Nme8	NME8
NOL8	Nol8	NOL8
TMEM144	Tmem144	TMEM144
MCTS1	Mcts1	MCTS1
NAALAD2	Naalad2	NAALAD2
TELO2	Telo2	TELO2
DDX27	Ddx27	DDX27
C1GALT1C1	C1galt1c1	C1GALT1C1
EWSR1	Ewsr1	EWSR1
MRM1	Mrm1	MRM1
CUL4B	Cul4b	CUL4B
MRPS17	Mrps17	MRPS17
POGLUT2	Poglut2	POGLUT2
FGF20	Fgf20	FGF20
COX5A	Cox5a	COX5A
SGPP1	Sgpp1	SGPP1
CDC6	Cdc6	CDC6
GUSB	Gusb	GUSB
EGR3	Egr3	EGR3
WFIKKN1	Wfikkn1	WFIKKN1
DLK1	Dlk1	DLK1
BIVM-ERCC5	Ercc5	BIVM
EBF2	Ebf2	EBF2
CFAP300	Cfap300	C1H11ORF70
FAM234A	Fam234a	FAM234A
MMP27	Mmp27	MMP27
PSMD3	Psmd3	PSMD3
MTG2	Mtg2	MTG2
CDC25B	Cdc25b	CDC25B
PEX1	Pex1	PEX1
KBTBD3	Kbtbd3	KBTBD3
GREB1L	Greb1l	GREB1L
HBS1L	Hbs1l	HBS1L
ARHGAP42	Arhgap42	ARHGAP42
ESCO2	Esco2	ESCO2
RHOV	Rhov	RHOV
CCNG2	Ccng2	CCNG2
NTF3	Ntf3	NTF3
ALDH1A2	Aldh1a2	ALDH1A2
IPO8	Ipo8	IPO8
IKZF3	Ikzf3	IKZF3
ANKRD49	Ankrd49	ANKRD49
ERICH1	Erich1	ERICH1
FHOD3	Fhod3	FHOD3
VPS37A	Vps37a	VPS37A
BIRC3	Birc3	BIRC3
GAS6	Gas6	GAS6
GPD1	Gpd1	GPD1
ZC3H12C	Zc3h12c	ZC3H12C
PRMT9	Prmt9	PRMT9
NEO1	Neo1	NEO1
STC1	Stc1	STC1
NOX4	Nox4	NOX4
GTF2E2	Gtf2e2	GTF2E2
TRIM35	Trim35	TRIM35
NDUFA9	Ndufa9	NDUFA9
VPS50	Vps50	VPS50
TMC2	Tmc2	TMC2
CENPP	Cenpp	CENPP
FGG	Fgg	FGG
NUDT15	Nudt15	NUDT15
OGN	Ogn	OGN
MAK16	Mak16	MAK16
MED4	Med4	MED4
AXIN1	Axin1	AXIN1
GAS2L1	Gas2l1	GAS2L1
HABP2	Habp2	HABP2
DNAAF9	Dnaaf9	DNAAF9
LPL	Lpl	LPL
AFG3L2	Afg3l2	AFG3L2
ASPN	Aspn	ASPN
KCNK18	Kcnk18	KCNK18
NKX1-2	Nkx1-2	NKX1-2
LHPP	Lhpp	LHPP
LIN28B	Lin28b	LIN28B
ANKRD50	Ankrd50	ANKRD50
IPPK	Ippk	IPPK
DHX32	Dhx32	DHX32
FABP7	Fabp7	FABP7
NEURL2	Neurl2	NEURL2
CBR4	Cbr4	CBR4
HINT3	Hint3	HINT3
MMGT1	Mmgt1	MMGT1
PANK2	Pank2	PANK2
IL17F	Il17f	IL17A
HMBOX1	Hmbox1	HMBOX1
RB1	Rb1	RB1
PKD1	Pkd1	PKD1
SNORD125	Gm24958	SNORD125
DCX	Dcx	DCX
KIF27	Kif27	KIF27
RRAGD	Rragd	RRAGD
HTRA1	Htra1	HTRA1
NEFH	Nefh	NEFH
HSPA4L	Hspa4l	HSPA4L
THOC5	Thoc5	THOC5
CTDP1	Ctdp1	CTDP1
ESF1	Esf1	ESF1
SGCG	Sgcg	SGCG
PGAP3	Pgap3	PGAP3
DPM1	Dpm1	DPM1
C9orf64	2210016F16Rik	C9orf64
RBM26	Rbm26	RBM26
NAT2	Nat3	PNAT10
HNRNPK	Hnrnpk	HNRNPKL
HMG20A	Hmg20a	HMG20A
GPM6B	Gpm6b	GPM6B
HEPACAM2	Hepacam2	HEPACAM2
KCNG1	Kcng1	KCNG1
SETBP1	Setbp1	SETBP1
JADE1	Jade1	JADE1
SLC18A1	Slc18a1	SLC18A1
PDZD8	Pdzd8	PDZD8
WIPF2	Wipf2	WIPF2
CTSA	Ctsa	CTSA
GEMIN8	Gemin8	GEMIN8
TMEM164	Tmem164	TMEM164
GGNBP2	Ggnbp2	GGNBP2
UBL7	Ubl7	UBL7
DCLK1	Dclk1	DCLK1
TM9SF3	Tm9sf3	TM9SF3
RAB39A	Rab39	RAB39A
RPL39	Rpl39	RPL39L
UPF3B	Upf3b	UPF3B
MED17	Med17	MED17
VPS41	Vps41	VPS41
NIPSNAP1	Nipsnap1	NIPSNAP1
PTPN13	Ptpn13	PTPN13
AKAP10	Akap10	AKAP10
RNF113A	Rnf113a1	RNF113B
NDUFA1	Ndufa1	NDUFA1
AKAP14	Akap14	AKAP14
NF2	Nf2	NF2
TRAF7	Traf7	TRAF7
NKAP	Nkap	NKAPL
ZDHHC16	Zdhhc16	ZDHHC16
MIR7-1	Mir7-1	gga-mir-7b
FUT10	Fut10	FUT10
ATP12A	Atp12a	ATP12A
TESK1	Tesk1	TESK1
CASK	Cask	CASK
TADA2A	Tada2a	TADA2A
CARMIL3	Carmil3	CARMIL3
HEPHL1	Hephl1	HEPHL1
UNC5D	Unc5d	UNC5D
EFNB2	Efnb2	EFNB2
ABCA3	Abca3	ABCA3
ENDOD1	Endod1	ENDOD1
VSTM5	Vstm5	VSTM5
ANKIB1	Ankib1	ANKIB1
DGKH	Dgkh	DGKH
TFPI2	Tfpi2	TFPI2
ARHGEF39	Arhgef39	ARHGEF39
PCK2	Pck2	PCK2
ELAPOR2	Elapor2	ELAPOR2
CYP1A2	Cyp1a2	CYP1A1
RPL23	Rpl23	RPL23
RPAP3	Rpap3	RPAP3
NCOA5	Ncoa5	NCOA5
RAB38	Rab38	RAB38
GAL	Gal	GAL
CD40	Cd40	CD40
PPP1R9A	Ppp1r9a	PPP1R9A
IREB2	Ireb2	IREB2
TLN1	Tln1	TLN1
RAB26	Rab26	RAB26
SLC35F2	Slc35f2	SLC35F2
HOXC10	Hoxc10	HOXC10
DPYSL2	Dpysl2	DPYSL2
SAMHD1	Samhd1	SAMHD1
ARID2	Arid2	ARID2
CLCN7	Clcn7	CLCN7
SOCS7	Socs7	SOCS7
C15orf61	2300009A05Rik	C15orf61
RELT	Relt	RELT
PPCDC	Ppcdc	PPCDC
CREB3	Creb3	CREB3
GBA2	Gba2	GBA2
HOXC11	Hoxc11	HOXC11
TMEM135	Tmem135	TMEM135
POLR1F	Polr1f	TWISTNB
ISLR	Islr	ISLR
SFXN4	Sfxn4	SFXN4
HSF2	Hsf2	HSF2
FBXL20	Fbxl20	FBXL20
GLRA3	Glra3	GLRA3
HOXC8	Hoxc8	HOXC8
RGP1	Rgp1	RGP1
EDC3	Edc3	EDC3
TINAG	Tinag	TINAG
CPNE8	Cpne8	CPNE8
MSMP	Msmp	MSMP
TRPC6	Trpc6	TRPC6
FBXO8	Fbxo8	FBXO8
PDAP1	Pdap1	PDAP1
PPP2R2D	Ppp2r2d	PPP2R2D
DZIP1	Dzip1	DZIP1
PGP	Pgp	PGP
PON3	Pon3	PON1
TBX18	Tbx18	TBX18
STUB1	Stub1	STUB1
MIEN1	Mien1	MIEN1
AQP5	Aqp5	AQP5
ABRACL	Abracl	ABRACL
MAP2K5	Map2k5	MAP2K5
FBXO47	Fbxo47	FBXO47
YAP1	Yap1	YAP1
GLRB	Glrb	GLRB
TMEM8B	Tmem8b	TMEM8B
HDAC2	Hdac2	HDAC2
FKBP10	Fkbp10	FKBP10
GMEB2	Gmeb2	GMEB2
CELA1	Cela1	CELA1
SMIM18	Smim18	SMIM18
STMN3	Stmn3	STMN3
TMEM175	Tmem175	TMEM175
PFKM	Pfkm	PFKM
HGF	Hgf	HGF
INSYN2A	Insyn2a	INSYN2A
MCRIP2	Mcrip2	MCRIP2
SLC6A4	Slc6a4	SLC6A4
CCDC25	Ccdc25	CCDC25
CLRN3	Clrn3	CLRN3
SUCLA2	Sucla2	SUCLA2
KDM2A	Kdm2a	KDM2A
E4F1	E4f1	E4F1
WDR11	Wdr11	WDR11
CABP7	Cabp7	CABP7
MLLT3	Mllt3	MLLT3
ZMAT5	Zmat5	ZMAT5
ARFRP1	Arfrp1	ARFRP1
UQCR10	Uqcr10	UQCR10
CASTOR1	Castor1	CASTOR1
BCLAF1	Bclaf1	BCLAF1
ANKDD1A	Ankdd1a	ANKDD1A
RNPS1	Rnps1	RNPS1
MSL1	Msl1	MSL1
PRDX3	Prdx3	PRDX3
SLC25A37	Slc25a37	SLC25A37
ENTPD8	Entpd8	ENTPD8
SH3RF1	Sh3rf1	SH3RF1
ZNRF2	Znrf2	ZNRF2
SEMA7A	Sema7a	SEMA7A
DUSP4	Dusp4	DUSP4
EXOSC1	Exosc1	EXOSC1
DCLK2	Dclk2	DCLK2
ARPC1A	Arpc1a	ARPC1A
PNPLA7	Pnpla7	PNPLA7
ERI1	Eri1	ERI1
RARA	Rara	RARA
FAM133B	Fam133b	FAM133B
MBOAT4	Mboat4	MBOAT4
UCHL3	Uchl3	UCHL3
MRPL41	Mrpl41	MRPL41
DPH7	Dph7	DPH7
AFAP1L2	Afap1l2	AFAP1L2
TPST1	Tpst1	TPST1
SF3A1	Sf3a1	SF3A1
UBE2Q2	Ube2q2	UBE2Q2
PDGFD	Pdgfd	PDGFD
ASNS	Asns	ASNS
SMARCA5	Smarca5	SMARCA5
DOCK5	Dock5	DOCK5
CUL5	Cul5	CUL5
ZMYND19	Zmynd19	ZMYND19
RNF215	Rnf215	RNF215
ARRDC1	Arrdc1	ARRDC1
GPR183	Gpr183	GPR183
NANOS1	Nanos1	NANOS1
CCR7	Ccr7	CCR7
TMEM131L	Tmem131l	TMEM131L
KCNQ2	Kcnq2	KCNQ2
ADAMTS7	Adamts7	ADAMTS7
TOP3A	Top3a	TOP3A
ACADSB	Acadsb	ACADSB
MCM3	Mcm3	MCM3
DMRT1	Dmrt1	DMRT1
RINT1	Rint1	RINT1
DMRT3	Dmrt3	DMRT3
BCOR	Bcor	BCOR
PSMA4	Psma4	PSMA4
LEPROTL1	Leprotl1	LEPROTL1
TBC1D9	Tbc1d9	TBC1D9
XPNPEP1	Xpnpep1	XPNPEP1
ETV4	Etv4	ETV4
FAM120A	Fam120a	FAM120A
PDE1C	Pde1c	PDE1C
SFRP2	Sfrp2	SFRP2
ADRA1A	Adra1a	ADRA1A
GPRIN3	Gprin3	GPRIN3
MTFP1	Mtfp1	MTFP1
SMAGP	Smagp	SMAGP
SRP72	Srp72	SRP72
DUSP26	Dusp26	DUSP26
TMEM204	Tmem204	TMEM204
STAR	Star	STAR
ADGRG6	Adgrg6	ADGRG6
HOXC4	Hoxc4	HOXC4
SLC25A30	Slc25a30	SLC25A30
ANKS3	Anks3	ANKS3
TRAF1	Traf1	TRAF1
SRCIN1	Srcin1	SRCIN1
ATP6V1B2	Atp6v1b2	ATP6V1B2
C5	Hc	C5
IL22	Il22b	IL22
RAB11FIP1	Rab11fip1	RAB11FIP1
CHKA	Chka	CHKA
PNMT	Pnmt	PNMT
PDZRN4	Pdzrn4	PDZRN4
YIPF6	Yipf6	YIPF6
TPT1	Tpt1	TPT1
TECPR1	Tecpr1	TECPR1
TSPAN5	Tspan5	TSPAN5
MED21	Med21	MED21
FOXI2	Foxi2	FOXI2
LASP1	Lasp1	LASP1
OPHN1	Ophn1	OPHN1
RAB14	Rab14	RAB14
GAL3ST1	Gal3st1	GAL3ST1
EIF4EBP1	Eif4ebp1	EIF4EBP1
SLC18A2	Slc18a2	SLC18A2
CYP11A1	Cyp11a1	CYP11A1
EBF4	Ebf4	EBF4
TERT	Tert	TERT
KCTD9	Kctd9	KCTD9
NOS2	Nos2	NOS2
MRPL50	Mrpl50	MRPL50
FUT9	Fut9	FUT9
WDR24	Wdr24	WDR24
HDDC2	Hddc2	HDDC2
RNF20	Rnf20	RNF20
NKX6-2	Nkx6-2	NKX6-2
ECI1	Eci1	ECI1
ABRAXAS2	Abraxas2	FAM175B
CPLX3	Cplx3	CPLX3
VMA21	Vma21	VMA21
TMEM243	Tmem243	TMEM243
RNF170	Rnf170	RNF170
IL22RA2	Il22ra2	IL22RA2
CPXM1	Cpxm1	CPXM1
SHTN1	Shtn1	SHTN1
CERS5	Cers5	CERS5
LSM5	Lsm5	LSM5
NKAIN2	Nkain2	NKAIN2
BAAT	Baat	BAAT
STRA6	Stra6	STRA6
ABHD13	Abhd13	ABHD13
CALHM6	Calhm6	CALHM6
CAAP1	Caap1	CAAP1
CLPTM1L	Clptm1l	CLPTM1L
PES1	Pes1	PES1
ELMOD1	Elmod1	ELMOD1
CLDN2	Cldn2	CLDN2
ESD	Esd	ESD
PLAA	Plaa	PLAA
BMP5	Bmp5	BMP5
DRP2	Drp2	DRP2
FAM83B	Fam83b	FAM83B
SNRPC	Snrpc	SNRPC
PLPBP	Plpbp	PLPBP
DSCAML1	Dscaml1	DSCAML1
VPS16	Vps16	VPS16
DOCK11	Dock11	DOCK11
CDK5R1	Cdk5r1	CDK5R1
HTR2A	Htr2a	HTR2A
GLDC	Gldc	GLDC
SLC16A7	Slc16a7	SLC16A7
TDRD3	Tdrd3	TDRD3
IFT140	Ift140	IFT140
LOXL2	Loxl2	LOXL2
CD36	Cd36	CD36
PPM1K	Ppm1k	PPM1K
SLC6A19	Slc6a19	SLC6A19
MOXD1	Moxd1	MOXD1
GPR26	Gpr26	GPR26
LZTS1	Lzts1	LZTS1
MANBAL	Manbal	MANBAL4
ATRNL1	Atrnl1	ATRNL1
ASCC3	Ascc3	ASCC3
ANKK1	Ankk1	ANKK1
TCN2	Tcn2	TCN2
ORMDL3	Ormdl3	ORMDL3
TCF15	Tcf15	TCF15
FNIP2	Fnip2	FNIP2
ARHGEF17	Arhgef17	ARHGEF17
TRPC5	Trpc5	TRPC5
SPART	Spg20	SPART
DBNDD2	Dbndd2	DBNDD2
NPY1R	Npy1r	NPY1R
P3H4	P3h4	P3H4
RBMS2	Rbms2	RBMS2
CAPN15	Capn15	CAPN15
NEDD8	Nedd8	NEDD8
ZNF395	Zfp395	ZNF395
TMA16	Tma16	TMA16
STK32C	Stk32c	STK32C
XPA	Xpa	XPA
FASTKD3	Fastkd3	FASTKD3
RNF169	Rnf169	RNF169
DERL3	Derl3	DERL3
NSMF	Nsmf	NSMF
UVRAG	Uvrag	UVRAG
MLST8	Mlst8	MLST8
UROS	Uros	UROS
PDLIM5	Pdlim5	PDLIM5
SLC6A18	Slc6a18	SLC6A18
MIF	Mif	MIF
ERLIN2	Erlin2	ERLIN2
PPP1R14C	Ppp1r14c	PPP1R14C
SMARCD1	Smarcd1	SMARCD1
ADCY2	Adcy2	ADCY2
GNG5P2	Gm4356	GNG5
TNS4	Tns4	TNS4
SRMS	Srms	SRMS
PORCN	Porcn	PORCN
DUSP15	Dusp15	DUSP15
SUSD2	Susd2	SUSD2
UNC93B1	Unc93b1	UNC93B1
GRIA3	Gria3	GRIA3
TOM1	Tom1	TOM1
GPATCH8	Gpatch8	GPATCH8
STK24	Stk24	STK24
MARCHF11	Marchf11	MARCHF11
ZHX3	Zhx3	ZHX3
ZDHHC2	Zdhhc2	ZDHHC2
MARCHF6	Marchf6	MARCHF6
SMCO4	Smco4	SMCO4
SRGAP1	Srgap1	SRGAP1
SCAI	Scai	SCAI
AASDHPPT	Aasdhppt	AASDHPPT
SMCR8	Smcr8	SMCR8
TOMM22	Tomm22	TOMM22
FAM83G	Fam83g	FAM83G
TRMT9B	Trmt9b	TRMT9B
GTPBP1	Gtpbp1	GTPBP1
ATP5MF-PTCD1	Ptcd1	PTCD1
P4HA3	P4ha3	P4HA3
GPR143	Gpr143	GPR143
NT5C3B	Nt5c3b	NT5C3B
ASIP	a	ASIP
EFHC1	Efhc1	EFHC1
MTMR7	Mtmr7	MTMR7
EGFL6	Egfl6	EGFL6
ATP23	Atp23	ATP23
TCEANC	Tceanc	TCEANC
CYP2D6	Cyp2d34	CYP2D6
RAB9A	Rab9	RAB9A
OFD1	Ofd1	OFD1
PPP1R12A	Ppp1r12a	PPP1R12A
CASD1	Casd1	CASD1
TMEM123	Tmem123	TMEM123
BUB3	Bub3	BUB3
DLGAP4	Dlgap4	DLGAP4
LPCAT1	Lpcat1	LPCAT1
RCBTB2	Rcbtb2	RCBTB2
PCMTD1	Pcmtd1	PCMTD1
CLNS1A	Clns1a	CLNS1A
PLPP2	Plpp2	PLPP2
LRRN3	Lrrn3	LRRN3
ROPN1L	Ropn1l	ROPN1L
BNIP3L	Bnip3l	BNIP3L
LRAT	Lrat	LRAT
SEMA3C	Sema3c	SEMA3C
MLC1	Mlc1	MLC1
CEP78	Cep78	CEP78
PLRG1	Plrg1	PLRG1
CTBP2	Ctbp2	CTBP2
DHRS11	Dhrs11	DHRS11
EHD4	Ehd4	EHD4
CFD	Cfd	CFD
IRX4	Irx4	IRX4
VPS51	Vps51	VPS51
G6PC1	G6pc	G6PC1
GLYR1	Glyr1	GLYR1
KIF13B	Kif13b	KIF13B
BUD31	Bud31	BUD31
FBXO22	Fbxo22	FBXO22
VAT1	Vat1	VAT1
PLXNB2	Plxnb2	PLXNB2
CEP44	Cep44	CEP44
VAPA	Vapa	VAPA
TMEM168	Tmem168	TMEM168
SEMA5A	Sema5a	SEMA5A
STARD3	Stard3	STARD3
PRSS23	Prss23	PRSS23
LZTS3	Lzts3	LZTS3
C10orf88	2310057M21Rik	C10orf88
SLITRK1	Slitrk1	SLITRK1
MED23	Med23	MED23
TES	Tesl1	TES
LIPC	Lipc	LIPC
PIEZO2	Piezo2	PIEZO2
ALOX5AP	Alox5ap	ALOX5AP
ING2	Ing2	ING2
PTPRA	Ptpra	PTPRA
FSTL5	Fstl5	FSTL5
EDRF1	Edrf1	EDRF1
SESN3	Sesn3	SESN3
FGF14	Fgf14	FGF14
ITGB7	Itgb7	ITGB7
HOOK3	Hook3	HOOK3
NUDT16L1	Nudt16l1	NUDT16L1
AUH	Auh	AUH
EPDR1	Epdr1	EPDR1
IFT88	Ift88	IFT88
PNPLA8	Pnpla8	PNPLA8
GDA	Gda	GDA
CDIP1	Cdip1	CDIP1
INTS10	Ints10	INTS10
ARHGAP10	Arhgap10	ARHGAP10
STOML1	Stoml1	STOML1
STX3	Stx3	STX3
DGCR2	Gm20518	DGCR2
DNM1	Dnm1	DNM1
SNX3	Snx3	SNX3
RUBCNL	Rubcnl	RUBCNL
DCTN6	Dctn6	DCTN6
RAD21L1	Rad21l	RAD21L1
ARID3A	Arid3a	ARID3A
TCERG1L	Tcerg1l	TCERG1L
TMEM19	Tmem19	TMEM19
FZD4	Fzd4	FZD4
XYLT1	Xylt1	XYLT1
JHY	Jhy	JHY
TBC1D32	Tbc1d32	TBC1D32
MEOX1	Meox1	MEOX1
SBNO2	Sbno2	SBNO2
GRK5	Grk5	GRK5
ADCY9	Adcy9	ADCY9
PPP2R2A	Ppp2r2a	PPP2R2A
ZNF831	Zfp831	ZNF831
GALNTL6	Galntl6	GALNTL6
CBFA2T2	Cbfa2t2	CBFA2T2
AP4E1	Ap4e1	AP4E1
DHX8	Dhx8	DHX8
ESS2	Ess2	ESS2
CNNM1	Cnnm1	CNNM1
ACSS3	Acss3	ACSS3
TMTC4	Tmtc4	TMTC4
GSC2	Gsc2	GSC2
SLC25A1	Slc25a1	SLC25A1
WNT8B	Wnt8b	WNT8B
PLN	Pln	PLN
PKIB	Pkib	PKIB
RSL1D1	Rsl1d1	RSL1D1
C2CD4C	C2cd4c	C2CD4C
ZNF488	Zfp488	ZNF488
ONECUT3	Onecut3	ONECUT3
SGCE	Sgce	SGCE
GRIN3B	Grin3b	GRIN3B
CCDC172	Ccdc172	CCDC172
RGS10	Rgs10	RGS10
CNN2	Cnn2	CNN2
MAN1A1	Man1a	MAN1A1
PBK	Pbk	PBK
RACGAP1	Racgap1	RACGAP1
ENPP6	Enpp6	ENPP6
MED1	Med1	MED1
GNAS	Gnas	GNAS
RWDD4	Rwdd4a	RWDD4
MTRR	Mtrr	MTRR
CDK19	Cdk19	CDK19
GSPT1	Gspt1	GSPT2
TUBA8	Tuba8	TUBA8B
VAX1	Vax1	VAX1
ENTPD4	Entpd4b	ENTPD4
IGFBP4	Igfbp4	IGFBP4
TMEM184C	Tmem184c	TMEM184C
TBX1	Tbx1	TBX1
KATNAL2	Katnal2	KATNAL2
INPP5F	Inpp5f	INPP5F
LMBRD1	Lmbrd1	LMBRD1
IL15	Il15	IL15
TMIGD1	Tmigd1	TMIGD1
MAP1A	Map1a	MAP1A
ADSL	Adsl	ADSL
MC5R	Mc5r	MC5R
HS3ST4	Hs3st4	HS3ST4
LOXL1	Loxl1	LOXL1
SPIDR	Spidr	SPIDR
BECN1	Becn1	BECN1
C5orf49	1700001L19Rik	C5orf49
RHOT2	Rhot2	RHOT2
PALM	Palm	PALM
IGDCC4	Igdcc4	IGDCC4
OTULINL	Otulinl	FAM105A
TNFRSF19	Tnfrsf19	TNFRSF19
GCNT3	Gcnt3	GCNT3
GJD4	Gjd4	GJD4
TRUB1	Trub1	TRUB1
R3HDM4	R3hdm4	R3HDM4
NUP155	Nup155	NUP155
FDX1	Fdx1	FDX1
ADD3	Add3	ADD3
SOST	Sost	SOST
RCN2	Rcn2	RCN2
TRIM29	Trim29	TRIM29
WNT3	Wnt3	WNT3
IRF2	Irf2	IRF2
POLR2E	Polr2e	POLR2E
RND2	Rnd2	RND2
MARCKS	Marcks	MARCKS
SMPDL3A	Smpdl3a	SMPDL3A
RAB20	Rab20	RAB20
CNTD1	Cntd1	CNTD1
CARS2	Cars2	CARS2
HECA	Heca	HECA
RPS27L	Rps27l	RPS27L
RSPH14	Rsph14	RSPH14
TIMELESS	Timeless	TIMELESS
TAB2	Tab2	TAB2
HOXB9	Hoxb9	HOXB9
GNAZ	Gnaz	GNAZ
TRAPPC3L	Trappc3l	TRAPPC3L
JAK2	Jak2	JAK2
VPS18	Vps18	VPS18
BCR	Bcr	BCR
S1PR4	S1pr4	S1PR4
NPY5R	Npy5r	NPY5R
NCLN	Ncln	NCLN
SLC18B1	Slc18b1	SLC18B1
DNASE1L2	Dnase1l2	DNASE1L2
SPIRE1	Spire1	SPIRE1
SPNS3	Spns3	SPNS3
PM20D2	Pm20d2	PM20D2
TNFRSF21	Tnfrsf21	TNFRSF21
GRIA4	Gria4	GRIA4
TLL1	Tll1	TLL1
RFLNB	Rflnb	RFLNB
ALDH8A1	Aldh8a1	ALDH8A1
FBXL7	Fbxl7	FBXL7
CRLF3	Crlf3	CRLF3
GNRH1	Gnrh1	GnRH-I
PAWR	Pawr	PAWR
SUSD1	Susd1	SUSD1
MNS1	Mns1	MNS1
TMC5	Tmc5	TMC5
STX11	Stx11	STX11
GPR158	Gpr158	GPR158
RNGTT	Rngtt	RNGTT
PPM1H	Ppm1h	PPM1H
GALK2	Galk2	GALK2
CFAP97D1	Cfap97d1	CFAP97D1
ANKRD33B	Ankrd33b	ANKRD33B
DNMBP	Dnmbp	DNMBP
SPEF2	Spef2	SPEF2
JUP	Jup	JUP
GCAT	Gcat	GCAT
FSD1	Fsd1	FSD1
OGFRL1	Ogfrl1	OGFRL1
TMC1	Tmc1	TMC1
ARHGEF12	Arhgef12	ARHGEF12
FAIM2	Faim2	FAIM2
MMS19	Mms19	MMS19
GALR3	Galr3	MCHR2
EIF3L	Eif3l	EIF3L
RPS6KA2	Rps6ka2	RPS6KA2
ACP1	Acp1	ACP1
ING1	Ing1	ING1
APBA3	Apba3	APBA3
MTRF1	Mtrf1	MTRF1
PRDX4	Prdx4	PRDX4
TMBIM6	Tmbim6	TMBIM6
TMEM252	Tmem252	TMEM252
AADAT	Aadat	AADAT
TJP3	Tjp3	TJP3
GARNL3	Garnl3	GARNL3
SLC24A4	Slc24a4	SLC24A4
ACOT9	Acot9	ACOT9
AGXT2	Agxt2	AGXT2
CREBBP	Crebbp	CREBBP
TPO	Tpo	TPO
CHRNA3	Chrna3	CHRNA3
EPHX2	Ephx2	EPHX2
MICALL1	Micall1	MICALL1
APOO	Apoo	APOO
HEY2	Hey2	HEY2
PSMA3	Psma3	PSMA3
WNT9B	Wnt9b	WNT9B
RICTOR	Rictor	RICTOR
OARD1	Oard1	OARD1
DKC1	Dkc1	DKC1
FBXW5	Fbxw5	FBXW5
MYO9A	Myo9a	MYO9A
ACO2	Aco2	ACO2
C8G	C8g	C8G
FBXW7	Fbxw7	FBXW7
NFIC	Nfic	NFIC
NRGN	Nrgn	NRGN
PTGDS	Ptgds	PTGDS
BIN2	Bin2	BIN2
SORL1	Sorl1	SORL1
ARL3	Arl3	ARL3
RGCC	Rgcc	RGCC
NEIL3	Neil3	NEIL3
HPSE2	Hpse2	HPSE2
ARID4A	Arid4a	ARID4A
ASB5	Asb5	ASB5
VWA8	Vwa8	VWA8
MPP1	Mpp1	MPP1
CLIC3	Clic3	CLIC3
PLEKHG1	Plekhg1	PLEKHG1
FUT7	Fut7	FUT7
ENO4	Eno4	ENO4
SPATA4	Spata4	SPATA4
TAAR2	Taar2	TAAR2
BEST3	Best3	BEST3
NDUFAF4	Ndufaf4	NDUFAF4
OIT3	Oit3	OIT3
ELP3	Elp3	ELP3
ENTPD2	Entpd2	ENTPD2
VEGFC	Vegfc	VEGFC
NHLRC2	Nhlrc2	NHLRC2
CAPN3	Capn3	CAPN3
TREML2	Treml2	TREM-B2
ALKAL2	Alkal2	ALKAL2
RANBP3	Ranbp3	RANBP3
EMX2	Emx2	EMX2
SAPCD2	Sapcd2	SAPCD2
RGS11	Rgs11	RGS11
GALNT7	Galnt7	GALNT7
RTKN2	Rtkn2	RTKN2
UAP1L1	Uap1l1	UAP1L1
PLCXD3	Plcxd3	PLCXD3
TRAPPC12	Trappc12	TRAPPC12
LUC7L3	Luc7l3	LUC7L3
DPP7	Dpp7	DPP7
GALNT6	Galnt6	GALNT6
NAF1	Naf1	NAF1
ANKRD6	Ankrd6	ANKRD6
GRIN1	Grin1	GRIN1
NXT2	Nxt2	NXT2
SORBS2	Sorbs2	SORBS2
SLC25A28	Slc25a28	SLC25A28
ADI1	Adi1	ADI1
ZBTB44	Zbtb44	ZBTB44
KCNE5	Kcne1l	KCNE5
ACSL4	Acsl4	ACSL4
BTG1	Btg1	BTG1
RAP2A	Rap2a	RAP2A
DCLRE1A	Dclre1a	DCLRE1A
KIAA0586	2700049A03Rik	TA3
UBE2V2	Ube2v2	UBE2V2
AP1B1	Ap1b1	AP1B1
ERLIN1	Erlin1	ERLIN1
RPUSD1	Rpusd1	RPUSD1
XAF1	Xaf1	XAF1
NAXD	Naxd	NAXD
MRPL40	Mrpl40	MRPL40
SLC20A2	Slc20a2	SLC20A2
MOB3A	Mob3a	MOB3A
PDSS2	Pdss2	PDSS2
ATF1	Atf1	ATF1
CRTAM	Crtam	CRTAM
KLHL31	Klhl31	KLHL31
GNG13	Gng13	GNG13
PARD3	Pard3	PARD3
GJA3	Gja3	GJA3
TMEM242	Tmem242	TMEM242
SYT1	Syt1	SYT1
SCNN1B	Scnn1b	SCNN1B
HSPA8	Hspa8	HSPA8
GJB2	Gjb2	GJB2
SNTG2	Sntg2	SNTG2
YJU2	Yju2	YJU2
SH2D4A	Sh2d4a	SH2D4A
OAZ1	Oaz1	OAZ1
CASC3	Casc3	CASC3
ATG5	Atg5	ATG5
SLC38A9	Slc38a9	SLC38A9
AGBL3	Agbl3	AGBL3
